device_id,device_type,data_type,data_size_kb,sampling_rate_hz,encryption_algorithm,key_size_bits,key_rotation_days,data_age_years,expected_retention_years,confidentiality_level,regulatory_requirement,access_frequency,risk_label,compliance_score,device_uptime_days
industrial_monitor_03126,industrial_monitor,flow_rate,116.33,30.855,RSA-2048,2048,730,5.77,7.5,high,"ISO27001, NIST",daily,high,0.7290084882867928,2817
environmental_sensor_03127,environmental_sensor,air_quality,52.35,0.039,ECC-256,256,30,5.16,2.2,low,None,rarely,medium,0.7884233803604794,1053
industrial_monitor_03128,industrial_monitor,vibration,175.31,12.198,ECC-384,384,730,2.45,10.6,high,"ISO27001, NIST",hourly,high,0.8511388642291553,3436
environmental_sensor_03129,environmental_sensor,noise,50.74,0.085,ECC-384,384,180,0.93,4.2,low,None,weekly,low,0.7362144006202809,800
smart_home_sensor_03130,smart_home_sensor,motion,8.66,0.336,RSA-2048,2048,365,7.51,4.9,low,GDPR,rarely,medium,0.7223973397642098,1894
health_monitor_03131,health_monitor,blood_pressure,86.58,8.926,RSA-2048,2048,180,0.14,12.7,critical,"HIPAA, GDPR",weekly,critical,0.7810100299093039,3623
location_tracker_03132,location_tracker,altitude,27.95,0.164,ECC-384,384,180,4.73,8.4,high,"GDPR, CCPA",weekly,high,0.8758711497082154,1695
health_monitor_03133,health_monitor,heart_rate,60.73,7.826,ECC-384,384,1825,6.17,11.6,critical,"HIPAA, GDPR",daily,high,0.9439943488095794,1783
health_monitor_03134,health_monitor,heart_rate,122.54,6.076,RSA-2048,2048,90,6.46,24.6,critical,"HIPAA, GDPR",daily,critical,0.9197238623468189,1891
smart_home_sensor_03135,smart_home_sensor,motion,18.91,0.219,RSA-2048,2048,90,5.83,1.9,low,GDPR,weekly,medium,0.864259121524263,266
location_tracker_03136,location_tracker,gps_coordinates,41.53,0.243,RSA-2048,2048,90,5.45,9.3,high,"GDPR, CCPA",rarely,critical,0.8983326646781331,2211
location_tracker_03137,location_tracker,gps_coordinates,28.37,0.462,RSA-2048,2048,365,7.24,9.4,high,"GDPR, CCPA",daily,critical,0.8612303844350709,1378
environmental_sensor_03138,environmental_sensor,co2,23.06,0.05,RSA-2048,2048,90,3.65,6.1,low,None,monthly,medium,0.8623387342772394,459
health_monitor_03139,health_monitor,heart_rate,85.31,4.637,RSA-2048,2048,365,4.74,18.0,critical,"HIPAA, GDPR",daily,critical,0.7048068546346328,377
environmental_sensor_03140,environmental_sensor,co2,32.41,0.067,RSA-4096,4096,30,5.59,6.0,low,None,hourly,low,0.8149308526433837,112
location_tracker_03141,location_tracker,speed,43.2,0.348,RSA-3072,3072,90,6.76,4.2,high,"GDPR, CCPA",rarely,high,0.867630328935975,1845
environmental_sensor_03142,environmental_sensor,co2,16.83,0.014,ECC-256,256,1825,3.25,6.6,low,None,weekly,medium,0.8782816782089709,3266
industrial_monitor_03143,industrial_monitor,pressure,229.02,42.546,ECC-384,384,30,5.48,10.0,high,"ISO27001, NIST",monthly,high,0.8523229333245135,2807
smart_home_sensor_03144,smart_home_sensor,motion,8.82,0.106,RSA-2048,2048,30,0.7,3.5,low,GDPR,hourly,medium,0.9094546763887854,236
industrial_monitor_03145,industrial_monitor,pressure,196.96,67.25,RSA-2048,2048,1825,2.07,11.9,high,"ISO27001, NIST",weekly,critical,0.8104836168024687,2054
location_tracker_03146,location_tracker,altitude,20.64,0.213,ECC-384,384,365,2.99,7.6,high,"GDPR, CCPA",monthly,medium,0.7428848104345072,2733
smart_home_sensor_03147,smart_home_sensor,door_status,30.96,0.99,ECC-256,256,90,6.05,2.1,low,GDPR,monthly,medium,0.7095679707209355,977
location_tracker_03148,location_tracker,speed,61.68,0.666,RSA-2048,2048,1825,5.5,4.5,high,"GDPR, CCPA",monthly,high,0.8710051246004037,636
health_monitor_03149,health_monitor,blood_pressure,114.48,6.374,RSA-3072,3072,90,5.32,10.5,critical,"HIPAA, GDPR",monthly,critical,0.8491704026875846,2569
health_monitor_03150,health_monitor,spo2,77.45,2.479,ECC-256,256,30,0.87,23.6,critical,"HIPAA, GDPR",weekly,critical,0.7707705898269899,1169
smart_home_sensor_03151,smart_home_sensor,humidity,23.97,0.462,ECC-384,384,365,5.51,2.1,low,GDPR,daily,low,0.7664589681897458,395
industrial_monitor_03152,industrial_monitor,temperature,72.05,54.496,RSA-2048,2048,730,7.47,11.0,high,"ISO27001, NIST",daily,critical,0.8744105311253703,975
smart_home_sensor_03153,smart_home_sensor,door_status,30.69,0.814,ECC-384,384,365,1.7,2.4,low,GDPR,rarely,low,0.7320655834852374,314
smart_home_sensor_03154,smart_home_sensor,humidity,20.75,0.159,RSA-2048,2048,180,3.58,3.5,low,GDPR,rarely,medium,0.7407685700699599,1108
location_tracker_03155,location_tracker,altitude,34.37,0.271,AES-256,256,180,0.57,5.7,high,"GDPR, CCPA",daily,medium,0.7746364731747498,1523
health_monitor_03156,health_monitor,spo2,85.79,5.233,AES-256,256,365,0.38,24.3,critical,"HIPAA, GDPR",weekly,high,0.9653934560632835,3412
location_tracker_03157,location_tracker,speed,53.91,0.91,RSA-2048,2048,1825,4.06,8.2,high,"GDPR, CCPA",rarely,critical,0.9115435024343834,452
industrial_monitor_03158,industrial_monitor,pressure,127.58,19.033,RSA-3072,3072,730,7.17,9.5,high,"ISO27001, NIST",rarely,critical,0.8672594460487739,1750
industrial_monitor_03159,industrial_monitor,vibration,146.79,20.36,RSA-2048,2048,365,2.29,10.3,high,"ISO27001, NIST",hourly,critical,0.810749784192635,1072
industrial_monitor_03160,industrial_monitor,vibration,169.23,84.983,ECC-384,384,1825,2.77,9.3,high,"ISO27001, NIST",daily,high,0.8252813355386577,675
health_monitor_03161,health_monitor,heart_rate,72.17,9.268,ECC-384,384,180,3.91,13.8,critical,"HIPAA, GDPR",rarely,high,0.7515693715083901,1600
industrial_monitor_03162,industrial_monitor,vibration,124.39,75.803,RSA-2048,2048,180,0.84,8.0,high,"ISO27001, NIST",hourly,high,0.9521813941761648,541
environmental_sensor_03163,environmental_sensor,co2,56.14,0.052,ECC-384,384,180,7.15,2.7,low,None,daily,low,0.7545763823195051,2844
environmental_sensor_03164,environmental_sensor,air_quality,20.82,0.075,ECC-256,256,90,1.19,3.6,low,None,rarely,medium,0.9281877709703247,3016
smart_home_sensor_03165,smart_home_sensor,humidity,31.76,0.258,RSA-3072,3072,1825,1.05,3.3,low,GDPR,monthly,medium,0.7718421323500761,2318
smart_home_sensor_03166,smart_home_sensor,motion,26.46,0.448,RSA-2048,2048,730,4.05,3.8,low,GDPR,hourly,medium,0.9269868128694444,2133
environmental_sensor_03167,environmental_sensor,particulate_matter,56.43,0.086,RSA-3072,3072,90,5.53,5.9,low,None,daily,low,0.7911912654293725,1345
smart_home_sensor_03168,smart_home_sensor,door_status,28.37,1.0,RSA-2048,2048,1825,7.66,4.2,low,GDPR,daily,high,0.9943775383675945,3090
location_tracker_03169,location_tracker,altitude,47.96,0.647,RSA-2048,2048,1825,2.34,3.8,high,"GDPR, CCPA",hourly,high,0.9759754006396012,1580
smart_home_sensor_03170,smart_home_sensor,temperature,23.55,0.701,ECC-384,384,90,7.66,2.9,low,GDPR,hourly,low,0.9628860061625387,2882
location_tracker_03171,location_tracker,speed,50.76,0.757,ECC-256,256,1825,6.35,6.6,high,"GDPR, CCPA",hourly,high,0.7543472094148854,3283
environmental_sensor_03172,environmental_sensor,noise,16.84,0.045,RSA-3072,3072,30,6.97,2.1,low,None,weekly,low,0.7251586364779975,2696
location_tracker_03173,location_tracker,speed,38.92,0.362,RSA-3072,3072,730,3.2,6.6,high,"GDPR, CCPA",monthly,medium,0.9892498543170742,1774
industrial_monitor_03174,industrial_monitor,temperature,205.56,49.755,RSA-3072,3072,365,4.04,6.3,high,"ISO27001, NIST",hourly,high,0.8307193046679142,2714
smart_home_sensor_03175,smart_home_sensor,humidity,20.96,0.133,RSA-3072,3072,365,5.14,1.7,low,GDPR,monthly,medium,0.9627264350390821,37
environmental_sensor_03176,environmental_sensor,particulate_matter,49.16,0.078,ECC-256,256,30,3.76,3.5,low,None,daily,medium,0.8460811511951682,1578
location_tracker_03177,location_tracker,speed,32.0,0.774,ECC-256,256,365,0.68,4.9,high,"GDPR, CCPA",weekly,high,0.894748941519497,1378
industrial_monitor_03178,industrial_monitor,temperature,239.1,16.93,RSA-2048,2048,365,5.01,13.1,high,"ISO27001, NIST",weekly,critical,0.9266268529277274,3037
health_monitor_03179,health_monitor,spo2,97.9,2.643,RSA-3072,3072,180,6.19,18.3,critical,"HIPAA, GDPR",daily,critical,0.8604067635148978,2768
industrial_monitor_03180,industrial_monitor,pressure,72.54,23.566,ECC-256,256,90,1.72,13.3,high,"ISO27001, NIST",rarely,critical,0.9811198987331853,2741
environmental_sensor_03181,environmental_sensor,co2,47.96,0.064,RSA-2048,2048,730,0.42,3.7,low,None,hourly,medium,0.7143987817447367,2551
industrial_monitor_03182,industrial_monitor,pressure,112.28,24.625,RSA-2048,2048,90,3.68,9.6,high,"ISO27001, NIST",rarely,critical,0.9504810886850321,624
environmental_sensor_03183,environmental_sensor,particulate_matter,22.93,0.018,ECC-256,256,180,4.11,6.7,low,None,daily,medium,0.9063396870937882,1120
health_monitor_03184,health_monitor,blood_pressure,78.73,6.234,RSA-2048,2048,1825,2.15,17.1,critical,"HIPAA, GDPR",hourly,critical,0.7991981811209122,2597
location_tracker_03185,location_tracker,speed,33.88,0.632,RSA-3072,3072,30,6.85,7.2,high,"GDPR, CCPA",rarely,high,0.8410585818257847,1079
location_tracker_03186,location_tracker,speed,42.07,0.193,RSA-2048,2048,90,5.98,3.2,high,"GDPR, CCPA",rarely,high,0.8415660598715173,587
environmental_sensor_03187,environmental_sensor,noise,17.16,0.056,RSA-4096,4096,30,2.81,3.1,low,None,daily,low,0.7129140855112498,1541
smart_home_sensor_03188,smart_home_sensor,door_status,26.39,0.692,ECC-256,256,90,2.29,2.0,low,GDPR,hourly,medium,0.8605707293941809,1788
location_tracker_03189,location_tracker,gps_coordinates,47.21,0.343,RSA-2048,2048,1825,0.32,3.0,high,"GDPR, CCPA",daily,high,0.7198190022145359,762
environmental_sensor_03190,environmental_sensor,noise,58.73,0.076,AES-256,256,30,6.54,2.5,low,None,weekly,low,0.8548250509846823,3452
smart_home_sensor_03191,smart_home_sensor,humidity,20.47,0.193,ECC-256,256,180,2.39,4.9,low,GDPR,monthly,high,0.7645389406701242,1136
smart_home_sensor_03192,smart_home_sensor,motion,28.49,0.176,ECC-256,256,730,4.27,2.4,low,GDPR,hourly,medium,0.9500823218332803,204
location_tracker_03193,location_tracker,altitude,63.1,0.434,RSA-2048,2048,730,0.15,8.0,high,"GDPR, CCPA",hourly,high,0.7208298067009602,177
smart_home_sensor_03194,smart_home_sensor,temperature,28.56,0.139,RSA-2048,2048,30,0.17,4.9,low,GDPR,monthly,medium,0.7885063178334671,1098
location_tracker_03195,location_tracker,speed,22.93,0.686,ECC-256,256,730,4.87,4.7,high,"GDPR, CCPA",daily,high,0.8225705757995416,1011
health_monitor_03196,health_monitor,blood_pressure,90.31,7.305,RSA-2048,2048,90,0.75,12.5,critical,"HIPAA, GDPR",daily,critical,0.880645777962371,1466
health_monitor_03197,health_monitor,temperature,97.47,7.433,RSA-3072,3072,1825,1.97,22.5,critical,"HIPAA, GDPR",daily,critical,0.9962559244412683,714
industrial_monitor_03198,industrial_monitor,pressure,151.38,59.417,RSA-2048,2048,365,4.98,13.8,high,"ISO27001, NIST",monthly,critical,0.7388143047089111,3112
smart_home_sensor_03199,smart_home_sensor,door_status,31.82,0.201,RSA-2048,2048,1825,0.25,1.9,low,GDPR,hourly,medium,0.8118315419685838,1566
location_tracker_03200,location_tracker,speed,42.73,0.316,ECC-256,256,30,6.77,6.3,high,"GDPR, CCPA",daily,high,0.9043266474338332,1702
smart_home_sensor_03201,smart_home_sensor,humidity,9.77,0.253,RSA-2048,2048,730,6.4,3.2,low,GDPR,monthly,medium,0.8121415547467603,2799
industrial_monitor_03202,industrial_monitor,flow_rate,238.96,26.446,RSA-2048,2048,365,3.58,14.2,high,"ISO27001, NIST",monthly,critical,0.7722402281377377,1310
location_tracker_03203,location_tracker,gps_coordinates,16.22,0.439,ECC-256,256,90,6.08,8.6,high,"GDPR, CCPA",weekly,critical,0.9444755280229857,1506
health_monitor_03204,health_monitor,temperature,121.13,8.559,ECC-256,256,90,5.47,14.6,critical,"HIPAA, GDPR",weekly,critical,0.756208849797948,1108
location_tracker_03205,location_tracker,altitude,16.49,0.255,ECC-384,384,730,0.61,9.2,high,"GDPR, CCPA",monthly,high,0.8009543570822908,1548
health_monitor_03206,health_monitor,blood_pressure,113.76,3.472,ECC-256,256,730,2.37,23.3,critical,"HIPAA, GDPR",daily,critical,0.7721460191871258,1001
health_monitor_03207,health_monitor,blood_pressure,48.0,7.414,ECC-384,384,90,4.08,22.2,critical,"HIPAA, GDPR",hourly,critical,0.9881840726359035,2041
location_tracker_03208,location_tracker,gps_coordinates,25.2,0.177,ECC-256,256,180,0.83,3.4,high,"GDPR, CCPA",weekly,critical,0.9508795716494286,565
location_tracker_03209,location_tracker,speed,43.98,0.915,RSA-3072,3072,30,2.77,3.3,high,"GDPR, CCPA",hourly,high,0.8382919545860683,2306
smart_home_sensor_03210,smart_home_sensor,motion,24.21,0.369,ECC-256,256,30,4.73,4.5,low,GDPR,weekly,medium,0.95203929417996,3221
environmental_sensor_03211,environmental_sensor,co2,19.64,0.083,RSA-2048,2048,730,5.59,6.7,low,None,daily,medium,0.904787106478307,1339
industrial_monitor_03212,industrial_monitor,pressure,127.47,12.596,ECC-256,256,90,4.35,12.0,high,"ISO27001, NIST",monthly,critical,0.8070693266640829,2288
smart_home_sensor_03213,smart_home_sensor,door_status,14.38,0.862,RSA-2048,2048,730,3.66,3.8,low,GDPR,hourly,high,0.762800210121871,1220
location_tracker_03214,location_tracker,gps_coordinates,19.46,0.116,RSA-2048,2048,365,1.29,9.6,high,"GDPR, CCPA",monthly,critical,0.8081768085428003,69
smart_home_sensor_03215,smart_home_sensor,temperature,19.33,0.636,RSA-2048,2048,730,7.63,1.4,low,GDPR,monthly,high,0.8554536848906825,2392
environmental_sensor_03216,environmental_sensor,air_quality,51.6,0.049,RSA-2048,2048,1825,7.99,5.1,low,None,daily,medium,0.7599973029151795,2317
industrial_monitor_03217,industrial_monitor,vibration,163.08,87.026,RSA-2048,2048,730,6.84,13.4,high,"ISO27001, NIST",rarely,critical,0.7820415475344704,338
industrial_monitor_03218,industrial_monitor,temperature,125.46,30.119,RSA-2048,2048,365,7.61,7.2,high,"ISO27001, NIST",monthly,high,0.8940354649543742,114
environmental_sensor_03219,environmental_sensor,noise,52.28,0.061,ECC-384,384,1825,1.57,4.9,low,None,hourly,low,0.9172952390944769,2356
smart_home_sensor_03220,smart_home_sensor,door_status,31.73,0.347,ECC-384,384,730,1.74,3.0,low,GDPR,hourly,low,0.8368228240931326,783
health_monitor_03221,health_monitor,blood_pressure,47.95,8.699,ECC-384,384,90,7.58,23.7,critical,"HIPAA, GDPR",hourly,critical,0.990877127824856,2848
environmental_sensor_03222,environmental_sensor,particulate_matter,39.58,0.094,RSA-2048,2048,180,5.08,4.4,low,None,hourly,medium,0.7915163383214662,2278
environmental_sensor_03223,environmental_sensor,air_quality,52.15,0.015,RSA-2048,2048,180,1.47,3.8,low,None,daily,medium,0.9735028469395983,2219
environmental_sensor_03224,environmental_sensor,air_quality,24.6,0.061,RSA-3072,3072,180,7.08,6.6,low,None,monthly,low,0.7822756281846457,2620
environmental_sensor_03225,environmental_sensor,co2,47.95,0.035,RSA-2048,2048,1825,4.53,5.3,low,None,weekly,medium,0.9206857309768133,1812
industrial_monitor_03226,industrial_monitor,pressure,72.83,94.328,ECC-384,384,180,1.05,11.2,high,"ISO27001, NIST",weekly,high,0.9995156163935908,547
location_tracker_03227,location_tracker,gps_coordinates,61.83,0.862,RSA-2048,2048,730,5.38,6.7,high,"GDPR, CCPA",weekly,high,0.9500752761080067,3560
location_tracker_03228,location_tracker,altitude,26.44,0.702,ECC-256,256,90,7.43,7.7,high,"GDPR, CCPA",hourly,high,0.8425835089370635,2772
smart_home_sensor_03229,smart_home_sensor,temperature,10.74,0.461,ECC-256,256,1825,7.83,1.7,low,GDPR,daily,medium,0.7373776188249994,2313
smart_home_sensor_03230,smart_home_sensor,temperature,26.07,0.903,ECC-256,256,730,3.31,3.5,low,GDPR,weekly,medium,0.9898767322290309,2546
smart_home_sensor_03231,smart_home_sensor,motion,15.38,0.219,RSA-3072,3072,365,6.76,2.9,low,GDPR,monthly,low,0.9162068339575031,1683
location_tracker_03232,location_tracker,speed,41.25,0.448,ECC-256,256,180,1.07,6.5,high,"GDPR, CCPA",weekly,high,0.9513933249170257,303
health_monitor_03233,health_monitor,temperature,53.82,9.787,RSA-2048,2048,30,2.38,29.9,critical,"HIPAA, GDPR",monthly,critical,0.8718419756159351,1397
health_monitor_03234,health_monitor,spo2,112.84,5.903,ECC-256,256,1825,4.68,14.4,critical,"HIPAA, GDPR",hourly,critical,0.8434978324464348,3223
health_monitor_03235,health_monitor,spo2,125.28,4.145,ECC-384,384,180,5.14,17.6,critical,"HIPAA, GDPR",daily,critical,0.7235256948849057,355
location_tracker_03236,location_tracker,speed,47.06,0.197,ECC-256,256,90,3.97,9.6,high,"GDPR, CCPA",weekly,critical,0.7185869048158978,2828
health_monitor_03237,health_monitor,spo2,89.02,8.29,AES-256,256,730,1.59,23.8,critical,"HIPAA, GDPR",hourly,high,0.8746269439928546,3647
smart_home_sensor_03238,smart_home_sensor,motion,14.26,0.816,RSA-2048,2048,730,6.7,4.2,low,GDPR,daily,medium,0.7566251545361068,3301
smart_home_sensor_03239,smart_home_sensor,motion,17.37,0.219,ECC-256,256,180,5.39,1.4,low,GDPR,rarely,medium,0.9024819450192553,2734
smart_home_sensor_03240,smart_home_sensor,door_status,9.54,0.761,RSA-3072,3072,730,1.9,4.1,low,GDPR,rarely,medium,0.9871358440913163,1340
smart_home_sensor_03241,smart_home_sensor,motion,22.96,0.355,RSA-2048,2048,365,5.42,4.2,low,GDPR,monthly,medium,0.8067552108485075,635
health_monitor_03242,health_monitor,temperature,57.19,3.637,ECC-256,256,1825,6.38,11.6,critical,"HIPAA, GDPR",rarely,critical,0.9210890611608404,3081
health_monitor_03243,health_monitor,heart_rate,74.32,3.798,RSA-3072,3072,90,3.81,29.3,critical,"HIPAA, GDPR",monthly,critical,0.9733966098583584,409
smart_home_sensor_03244,smart_home_sensor,motion,12.93,0.867,ECC-256,256,1825,5.67,2.0,low,GDPR,hourly,medium,0.9530954182379419,1787
environmental_sensor_03245,environmental_sensor,noise,35.59,0.035,RSA-2048,2048,365,6.26,5.0,low,None,monthly,medium,0.7251811151714816,1311
health_monitor_03246,health_monitor,spo2,104.14,7.094,ECC-256,256,365,5.35,21.2,critical,"HIPAA, GDPR",hourly,critical,0.9032174940509551,1722
industrial_monitor_03247,industrial_monitor,flow_rate,87.7,11.759,RSA-2048,2048,180,4.96,13.7,high,"ISO27001, NIST",rarely,critical,0.790769028892089,685
environmental_sensor_03248,environmental_sensor,noise,59.48,0.024,ECC-256,256,180,7.37,4.9,low,None,weekly,medium,0.970862220598431,866
industrial_monitor_03249,industrial_monitor,pressure,214.77,94.292,ECC-384,384,30,1.86,9.4,high,"ISO27001, NIST",monthly,high,0.7512261158635937,1251
environmental_sensor_03250,environmental_sensor,noise,18.27,0.074,RSA-2048,2048,90,0.76,6.7,low,None,weekly,medium,0.7667366937202723,111
location_tracker_03251,location_tracker,gps_coordinates,59.19,0.963,RSA-3072,3072,180,5.73,7.3,high,"GDPR, CCPA",weekly,medium,0.8475709427974867,2154
industrial_monitor_03252,industrial_monitor,flow_rate,180.51,58.437,ECC-256,256,730,2.39,11.8,high,"ISO27001, NIST",weekly,critical,0.7991590833201174,3008
environmental_sensor_03253,environmental_sensor,air_quality,58.69,0.071,ECC-256,256,30,0.75,3.9,low,None,rarely,medium,0.8078270868074425,471
industrial_monitor_03254,industrial_monitor,pressure,106.35,39.502,RSA-3072,3072,730,3.14,13.0,high,"ISO27001, NIST",weekly,high,0.8273419897335758,1317
industrial_monitor_03255,industrial_monitor,temperature,187.79,36.571,ECC-384,384,180,6.74,8.3,high,"ISO27001, NIST",monthly,high,0.7431260594973038,3390
health_monitor_03256,health_monitor,blood_pressure,122.05,4.508,ECC-256,256,730,5.61,10.9,critical,"HIPAA, GDPR",rarely,critical,0.7287767876001746,467
industrial_monitor_03257,industrial_monitor,vibration,171.84,33.748,RSA-3072,3072,730,2.91,10.6,high,"ISO27001, NIST",monthly,critical,0.7578760798185283,3432
smart_home_sensor_03258,smart_home_sensor,door_status,15.91,0.276,RSA-3072,3072,90,0.87,3.3,low,GDPR,weekly,medium,0.8602194401346982,3236
location_tracker_03259,location_tracker,altitude,61.66,0.477,ECC-384,384,1825,0.56,7.9,high,"GDPR, CCPA",monthly,medium,0.8203988030547239,3126
smart_home_sensor_03260,smart_home_sensor,humidity,29.96,0.298,RSA-3072,3072,730,1.41,1.6,low,GDPR,daily,low,0.8991942734534586,432
smart_home_sensor_03261,smart_home_sensor,temperature,22.48,0.449,RSA-2048,2048,30,2.0,4.7,low,GDPR,rarely,medium,0.9079317781798826,983
location_tracker_03262,location_tracker,speed,58.98,0.95,RSA-2048,2048,1825,5.36,7.2,high,"GDPR, CCPA",daily,high,0.8891319249220608,3417
environmental_sensor_03263,environmental_sensor,particulate_matter,57.18,0.098,ECC-256,256,90,3.86,4.2,low,None,hourly,medium,0.768174183046176,736
environmental_sensor_03264,environmental_sensor,particulate_matter,28.29,0.03,RSA-2048,2048,730,0.11,3.8,low,None,daily,medium,0.8866986575990506,903
health_monitor_03265,health_monitor,blood_pressure,125.35,4.338,RSA-2048,2048,180,7.87,21.3,critical,"HIPAA, GDPR",weekly,critical,0.8688881082707727,449
location_tracker_03266,location_tracker,speed,33.6,0.959,RSA-2048,2048,730,0.38,8.9,high,"GDPR, CCPA",weekly,critical,0.8912787419797692,3294
health_monitor_03267,health_monitor,spo2,119.31,9.937,RSA-3072,3072,90,3.44,25.2,critical,"HIPAA, GDPR",monthly,critical,0.7747300094033126,132
smart_home_sensor_03268,smart_home_sensor,humidity,23.43,0.518,ECC-256,256,30,1.27,3.1,low,GDPR,rarely,high,0.9965481540690908,2648
smart_home_sensor_03269,smart_home_sensor,door_status,15.35,0.708,ECC-384,384,365,6.89,2.2,low,GDPR,rarely,low,0.9961858381141533,3591
environmental_sensor_03270,environmental_sensor,particulate_matter,31.29,0.071,RSA-2048,2048,30,7.48,4.6,low,None,monthly,medium,0.9636360139385616,512
health_monitor_03271,health_monitor,spo2,74.01,2.11,RSA-3072,3072,730,7.05,18.6,critical,"HIPAA, GDPR",rarely,critical,0.7714701911710865,552
health_monitor_03272,health_monitor,temperature,58.46,6.826,ECC-384,384,180,2.66,13.3,critical,"HIPAA, GDPR",rarely,high,0.9258041759351074,331
location_tracker_03273,location_tracker,gps_coordinates,19.01,0.819,ECC-256,256,180,0.46,8.7,high,"GDPR, CCPA",daily,critical,0.737662755036357,3193
location_tracker_03274,location_tracker,altitude,24.9,0.281,AES-256,256,180,3.94,4.7,high,"GDPR, CCPA",monthly,medium,0.9750855677264239,1124
environmental_sensor_03275,environmental_sensor,particulate_matter,16.99,0.042,RSA-2048,2048,1825,0.59,3.1,low,None,hourly,medium,0.7672064159786564,2155
smart_home_sensor_03276,smart_home_sensor,temperature,17.5,0.34,ECC-256,256,1825,3.13,1.4,low,GDPR,monthly,medium,0.8323049251898293,2418
smart_home_sensor_03277,smart_home_sensor,temperature,23.29,0.712,RSA-4096,4096,90,3.21,2.5,low,GDPR,weekly,low,0.8930794635369352,3363
smart_home_sensor_03278,smart_home_sensor,humidity,11.74,0.628,RSA-2048,2048,30,7.01,1.6,low,GDPR,daily,medium,0.8098855632815375,1537
environmental_sensor_03279,environmental_sensor,co2,30.61,0.035,RSA-2048,2048,30,2.9,5.2,low,None,weekly,medium,0.771585910379606,3070
industrial_monitor_03280,industrial_monitor,temperature,220.05,32.001,ECC-256,256,1825,1.48,13.5,high,"ISO27001, NIST",hourly,critical,0.9378578441769566,1700
location_tracker_03281,location_tracker,altitude,61.95,0.556,AES-256,256,180,5.26,4.5,high,"GDPR, CCPA",rarely,medium,0.9437553203878227,2010
smart_home_sensor_03282,smart_home_sensor,door_status,9.57,0.339,ECC-256,256,1825,3.32,4.9,low,GDPR,daily,medium,0.8431704025586395,2905
environmental_sensor_03283,environmental_sensor,noise,46.87,0.07,ECC-384,384,730,3.13,4.7,low,None,rarely,low,0.7896770243534674,3260
health_monitor_03284,health_monitor,spo2,95.76,1.475,RSA-2048,2048,730,1.28,26.8,critical,"HIPAA, GDPR",monthly,critical,0.9128322105321863,2191
environmental_sensor_03285,environmental_sensor,air_quality,21.66,0.012,ECC-384,384,180,2.16,5.6,low,None,weekly,low,0.9700010683322051,2296
smart_home_sensor_03286,smart_home_sensor,motion,10.06,0.185,AES-256,256,90,2.55,2.9,low,GDPR,rarely,low,0.9411339496782475,2100
environmental_sensor_03287,environmental_sensor,co2,22.06,0.02,RSA-3072,3072,1825,6.32,3.2,low,None,monthly,medium,0.8683862262225942,2758
smart_home_sensor_03288,smart_home_sensor,temperature,11.52,0.274,ECC-256,256,30,6.34,3.8,low,GDPR,weekly,medium,0.7179020358367546,375
location_tracker_03289,location_tracker,gps_coordinates,61.45,0.397,RSA-4096,4096,180,2.54,5.4,high,"GDPR, CCPA",weekly,medium,0.9757514194259203,1089
environmental_sensor_03290,environmental_sensor,air_quality,37.07,0.09,RSA-2048,2048,730,4.06,6.5,low,None,monthly,low,0.972565185712541,3286
environmental_sensor_03291,environmental_sensor,particulate_matter,32.31,0.06,ECC-256,256,180,6.3,2.5,low,None,weekly,low,0.7768410200828537,2624
environmental_sensor_03292,environmental_sensor,co2,34.5,0.032,RSA-2048,2048,365,2.56,4.7,low,None,rarely,medium,0.9059753458003673,79
industrial_monitor_03293,industrial_monitor,vibration,156.52,50.282,ECC-384,384,1825,1.47,9.8,high,"ISO27001, NIST",weekly,high,0.8121029803828232,908
smart_home_sensor_03294,smart_home_sensor,door_status,28.0,0.816,RSA-2048,2048,180,1.52,4.1,low,GDPR,monthly,medium,0.7660132915334937,2898
location_tracker_03295,location_tracker,speed,49.76,0.144,AES-256,256,180,1.3,6.2,high,"GDPR, CCPA",daily,medium,0.7032133681509296,1504
smart_home_sensor_03296,smart_home_sensor,door_status,31.83,0.118,ECC-256,256,90,3.05,4.4,low,GDPR,hourly,medium,0.8095400815332982,2323
industrial_monitor_03297,industrial_monitor,flow_rate,193.53,97.83,RSA-3072,3072,180,5.59,10.4,high,"ISO27001, NIST",weekly,critical,0.7633125051670925,1777
industrial_monitor_03298,industrial_monitor,pressure,72.33,75.331,ECC-384,384,730,4.61,5.4,high,"ISO27001, NIST",daily,high,0.7071107903951835,2001
industrial_monitor_03299,industrial_monitor,temperature,144.14,23.456,RSA-2048,2048,1825,3.61,14.2,high,"ISO27001, NIST",daily,critical,0.8580058299391061,199
industrial_monitor_03300,industrial_monitor,pressure,235.74,43.59,RSA-2048,2048,1825,2.56,12.9,high,"ISO27001, NIST",hourly,critical,0.76975273602938,3250
location_tracker_03301,location_tracker,speed,18.23,0.314,RSA-2048,2048,730,2.25,4.2,high,"GDPR, CCPA",weekly,high,0.8766272223164301,2235
environmental_sensor_03302,environmental_sensor,air_quality,38.5,0.069,RSA-3072,3072,730,3.71,3.7,low,None,monthly,low,0.8254765036556233,2842
industrial_monitor_03303,industrial_monitor,vibration,181.0,37.485,ECC-256,256,730,7.19,5.8,high,"ISO27001, NIST",daily,high,0.8023978331300334,3139
